Database,File Location,Database Type,Extra Arguments,Identifier,Description,Data Source,Link
vcf,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,-vcfdbfile 00-All.vcf ,snp137_all,dbSNP137 Global minor allele frequency(GMAF) if variant is in dbSNP137; NA means the variant is in dbSNP137 but with no GMAF,snp137 from NCBI,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606/VCF/00-All.vcf.gz
vcf,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,#NAME?,snp137_common,dbSNP137 GMAF if variant is in dbSNP137 and common,snp137 from NCBI,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606/VCF/common_all.vcf.gz
vcf,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,#NAME?,snp137_common_no_known_medical_impact,dbSNP137 ID if variant is in dbSNP137 and common with no known medical impact,snp137 from NCBI,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606/VCF/common_no_known_medical_impact_00-latest.vcf.gz
caddgt20,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,CADDgt20,Whole-genome CADD scores that are within 1% highest percentile (3.3GB),Downloaded from ANNOVAR website http://www.openbioinformatics.org/annovar/,http://cadd.gs.washington.edu/ and http://www.ncbi.nlm.nih.gov/pubmed/24487276
generic,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,#NAME?,CIDRVar51Mb,Alternate Allele Frequency in CIDRVar51Mb database,CIDR,Frequency was calculated from 50 composite individuals running on Agilent51Mb exome capture product and binned into 8 categories
generic,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,#NAME?,CIDRVar50Mb,Alternate Allele Frequency in CIDRVar50Mb database,CIDR,Frequency was calculated from about 300 composite individuals running on Agilent50Mb exome capture product and binned into 10 categories
exac03,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,#NAME?,ExAC03,AltAlleleFreq from 63K Seq samples V3,Exome Aggregation Consortium,http://exac.broadinstitute.org/
exac03,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,ExAC03_Global,AltAlleleFreq from 63K Seq samples V3,Exome Aggregation Consortium,http://exac.broadinstitute.org/
exac03.AFR,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,ExAC03_AFR,AltAlleleFreq from 63K Seq samples V3,Exome Aggregation Consortium,http://exac.broadinstitute.org/
exac03.AMR,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,ExAC03_AMR,AltAlleleFreq from 63K Seq samples V3,Exome Aggregation Consortium,http://exac.broadinstitute.org/
exac03.EAS,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,ExAC03_EAS,AltAlleleFreq from 63K Seq samples V3,Exome Aggregation Consortium,http://exac.broadinstitute.org/
exac03.FIN,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,ExAC03_FIN,AltAlleleFreq from 63K Seq samples V3,Exome Aggregation Consortium,http://exac.broadinstitute.org/
exac03.NFE,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,ExAC03_NFE,AltAlleleFreq from 63K Seq samples V3,Exome Aggregation Consortium,http://exac.broadinstitute.org/
exac03.OTH,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,ExAC03_OTH,AltAlleleFreq from 63K Seq samples V3,Exome Aggregation Consortium,http://exac.broadinstitute.org/
exac03.SAS,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,ExAC03_SAS,AltAlleleFreq from 63K Seq samples V3,Exome Aggregation Consortium,http://exac.broadinstitute.org/
vistaEnhancers,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,vistaEnhancer_ID,identifies distant-acting transcriptional enhancers in the human genome by coupling the identification of evolutionary conserved non-coding sequences with a moderate throughput mouse transgenesis enhancer assay,VISTA Enhancer Browser,https://enhancer.lbl.gov/
wgEncodeRegTfbsClusteredV3,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,wgEncodeRegTfbsClusteredV3_Score,Txn Factor ChIP - Transcription Factor ChIP-seq (161 factors) from ENCODE with Factorbook Motifs,UCSC_2013-07-21,https://genome.ucsc.edu/cgi-bin/hgTrackUi?db=hg19&g=wgEncodeAwgTfbsUniform
wgEncodeRegDnaseClusteredV3,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,wgEncodeRegDnaseClusteredV3_Score,DNaseI hypersensitive sites,UCSC_2014-09-04,http://hgdownload-test.sdsc.edu/cgi-bin/hgTables?db=hg19&hgta_group=regulation&hgta_track=wgEncodeRegDnaseClustered&hgta_table=wgEncodeRegDnaseClusteredV3&hgta_doSchema=describe+table+schema
wgEncodeBroadHmmGm12878HMM,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,region,,wgEncodeBroadHmmGm12878HMM_ChromatinStateSegmentation,ChromatinStateSegmentation,UCSC_2011-03-21,https://www.ncbi.nlm.nih.gov/pubmed/20657582
gwava,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,WG_GWAVA_score,whole genome GWAVA_region_score GWAVA_tss_score GWAVA_unmatched_score,GWAVA_20150623,https://www.ncbi.nlm.nih.gov/pubmed/24487584
eigen,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,WG_EIGEN_score,whole-genome Eigen scores,EIGEN_20160330,https://www.ncbi.nlm.nih.gov/pubmed/26727659
revel,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,revel_score,predicting the pathogenicity of missense variants based on 13 individual tools,revel_20161205,https://sites.google.com/site/revelgenomics/about
kaviar_20150923,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,Kaviar_AF,Allele Freq from Kaviar 170 million Known VARiants from 13K genomes and 64K exomes in 34 projects,Kiviar_20151203,http://db.systemsbiology.net/kaviar/
fathmm,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,fathmm_score,whole-genome FATHMM_coding and FATHMM_noncoding scores,fathmm_20160315,http://fathmm.biocompute.org.uk/
gnomad_exome,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,gnomAD_exome_freq,Allele Freq from gnomAD_exome,gnomAD_20170311,http://gnomad.broadinstitute.org/
gnomad_genome,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,gnomAD_genome_freq,Allele Freq from gnomAD_genome,gnomAD_20170311,http://gnomad.broadinstitute.org/
gme,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,,gme_AF,Allele Freq from Great Middle East including (northwest Africa)(northeast Africa)(Arabian peninsula)(Israel)(Syrian desert)(Turkish peninsula)and(Central Asia),gme_20161024,https://www.ncbi.nlm.nih.gov/pubmed/27428751
generic,/mnt/research/tools/LINUX/CIDRSEQSUITE/annovar_wrapper/databases/dataset/,filter,#NAME?,VEST_Score,VEST score from Karchin's lab,Karchinls Lab,PubMedIDXXXX
